english,auto_malayalam,source,frequency
Ministry of Earth Sciences,ഭൌമശാസ്ത്ര മന്ത്രാലയം,seed_ministry,1
Ministry of Education,വിദ്യാഭ്യാസ മന്ത്രാലയം,seed_ministry,1
Ministry of Electronics and Information Technology,"ഇലക്ട്രോണിക്സ്, ഇൻഫർമേഷൻ ടെക്നോളജി മന്ത്രാലയം",seed_ministry,1
"Ministry of Environment, Forest and Climate Change","പരിസ്ഥിതി, വനം, കാലാവസ്ഥാ വ്യതിയാന മന്ത്രാലയം",seed_ministry,1
Ministry of External Affairs,വിദേശകാര്യ മന്ത്രാലയം,seed_ministry,1
Ministry of Finance,ധനമന്ത്രാലയം,seed_ministry,1
"Ministry of Fisheries, Animal Husbandry and Dairying","ഫിഷറീസ്, മൃഗസംരക്ഷണം, ക്ഷീര മന്ത്രാലയം",seed_ministry,1
Ministry of Food Processing Industries,ഭക്ഷ്യ സംസ്കരണ വ്യവസായ മന്ത്രാലയം,seed_ministry,1
Ministry of Health and Family Welfare,ആരോഗ്യ കുടുംബക്ഷേമ മന്ത്രാലയം,seed_ministry,1
Ministry of Heavy Industries,കനത്ത വ്യവസായ മന്ത്രാലയം,seed_ministry,1
Ministry of Home Affairs,ആഭ്യന്തര മന്ത്രാലയം,seed_ministry,1
Ministry of Housing and Urban Affairs,"ഭവന, നഗരകാര്യ മന്ത്രാലയം",seed_ministry,1
Ministry of Information and Broadcasting,വാർത്താവിതരണ പ്രക്ഷേപണ മന്ത്രാലയം,seed_ministry,1
Ministry of Jal Shakti,ജൽ ശക്തി മന്ത്രാലയം,seed_ministry,1
Ministry of Labour and Employment,"തൊഴിൽ, തൊഴിൽ മന്ത്രാലയം",seed_ministry,1
Ministry of Law and Justice,നിയമ-നീതി മന്ത്രാലയം,seed_ministry,1
"Ministry of Micro, Small and Medium Enterprises","മൈക്രോ, ചെറുകിട, ഇടത്തരം സംരംഭങ്ങളുടെ മന്ത്രാലയം",seed_ministry,1
Ministry of Mines,ഖനിത്തൊഴില് മന്ത്രാലയം,seed_ministry,1
Ministry of Minority Affairs,ന്യൂനപക്ഷകാര്യ മന്ത്രാലയം,seed_ministry,1
Ministry of New and Renewable Energy,പുതിയതും പുനരുപയോഗിക്കാവുന്നതുമായ ഊർജ്ജ മന്ത്രാലയം,seed_ministry,1
Ministry of Panchayati Raj,പഞ്ചായത്തി രാജ് മന്ത്രാലയം,seed_ministry,1
Ministry of Parliamentary Affairs,പാർലമെൻ്റികാര്യ മന്ത്രാലയം,seed_ministry,1
"Ministry of Personnel, Public Grievances and Pensions","പേഴ്സണൽ, പബ്ലിക് ഗ്രീവൻസസ്, പെൻഷൻ മന്ത്രാലയം",seed_ministry,1
Ministry of Petroleum and Natural Gas,"പെട്രോളിയം, പ്രകൃതിവാതക മന്ത്രാലയം",seed_ministry,1
"Ministry of Ports, Shipping and Waterways","തുറമുഖ, ഷിപ്പിംഗ്, ജലപാത മന്ത്രാലയം",seed_ministry,1
Ministry of Power,ഊർജ്ജ മന്ത്രാലയം,seed_ministry,1
Ministry of Railways,റെയിൽവേ മന്ത്രാലയം,seed_ministry,1
Ministry of Road Transport and Highways,"റോഡ് ഗതാഗത, ദേശീയപാത മന്ത്രാലയം",seed_ministry,1
Ministry of Rural Development,ഗ്രാമവികസന മന്ത്രാലയം,seed_ministry,1
Ministry of Science and Technology,ശാസ്ത്ര സാങ്കേതിക മന്ത്രാലയം,seed_ministry,1
Ministry of Skill Development and Entrepreneurship,"നൈപുണ്യ വികസന, സംരംഭകത്വ മന്ത്രാലയം",seed_ministry,1
Ministry of Social Justice and Empowerment,"സാമൂഹിക നീതി, ശാക്തീകരണ മന്ത്രാലയം",seed_ministry,1
Ministry of Statistics and Programme Implementation,"സ്ഥിതിവിവരക്കണക്ക്, പദ്ധതി നടപ്പാക്കൽ മന്ത്രാലയം",seed_ministry,1
Ministry of Steel,ഉരുക്ക് മന്ത്രാലയം,seed_ministry,1
Ministry of Textiles,തുണിത്തര മന്ത്രാലയം,seed_ministry,1
Ministry of Tourism,ടൂറിസം മന്ത്രാലയം,seed_ministry,1
Ministry of Tribal Affairs,ഗോത്രകാര്യ മന്ത്രാലയം,seed_ministry,1
Ministry of Women and Child Development,വനിതാ ശിശു വികസന മന്ത്രാലയം,seed_ministry,1
Ministry of Youth Affairs and Sports,യുവജനകാര്യ കായിക മന്ത്രാലയം,seed_ministry,1
Ministry:,മന്ത്രാലയം:,ui_locale,1
Minority Affairs,ന്യൂനപക്ഷകാര്യങ്ങൾ,seed_category,1
Mizoram,മിസോറാം,seed_state,1
NITI Aayog,നിതി ആയോഗ്,seed_ministry,1
Nagaland,നാഗാലാൻഡ്,seed_state,1
Need help finding schemes?,പദ്ധതികള്‍ കണ്ടെത്താന്‍ സഹായം വേണോ?,ui_locale,1
New Chat,പുതിയ ചാറ്റ്,ui_locale,1
Next,അടുത്തത്,ui_locale,1
No,ഇല്ല,ui_locale,1
No exact matches found. Try adjusting your criteria or,കൃത്യമായ പൊരുത്തങ്ങള്‍ കണ്ടെത്തിയില്ല. നിങ്ങളുടെ മാനദണ്ഡങ്ങള്‍ മാറ്റി ശ്രമിക്കുക അല്ലെങ്കില്‍,ui_locale,1
No schemes found,പദ്ധതികളൊന്നും കണ്ടെത്തിയില്ല,ui_locale,1
No schemes found. Try adjusting your filters.,പദ്ധതികളൊന്നും കണ്ടെത്തിയില്ല. നിങ്ങളുടെ ഫില്‍ട്ടറുകള്‍ മാറ്റി ശ്രമിക്കുക.,ui_locale,1
Not sure which scheme is right for you?,ഏത് പദ്ധതിയാണ് നിങ്ങള്‍ക്ക് ശരിയായത് എന്ന് ഉറപ്പില്ലേ?,ui_locale,1
Odisha,ഒഡീഷ,seed_state,1
Official Website,ഔദ്യോഗിക വെബ്‌സൈറ്റ്,ui_locale,1
Our AI chatbot can help you find the right government schemes based on your profile. Just tell us about yourself and we'll match you with eligible schemes.,"ഞങ്ങളുടെ AI ചാറ്റ്ബോട്ട് നിങ്ങളുടെ പ്രൊഫൈലിന്‍റെ അടിസ്ഥാനത്തില്‍ ശരിയായ സര്‍ക്കാര്‍ പദ്ധതികള്‍ കണ്ടെത്താന്‍ സഹായിക്കും. നിങ്ങളെക്കുറിച്ച് പറയൂ, അര്‍ഹതയുള്ള പദ്ധതികളുമായി ഞങ്ങള്‍ നിങ്ങളെ ബന്ധിപ്പിക്കാം.",ui_locale,1
Page Not Found,പേജ് കണ്ടെത്തിയില്ല,ui_locale,1
Pause,താല്‍ക്കാലികമായി നിര്‍ത്തുക,ui_locale,1
Play reply,മറുപടി കേള്‍ക്കുക,ui_locale,1
Previous,മുമ്പത്തെ,ui_locale,1
Processing...,പ്രോസസ് ചെയ്യുന്നു...,ui_locale,1
"Public Safety, Law & Justice","പൊതു സുരക്ഷ, നിയമം, നീതി",seed_category,1
Puducherry,പുതുച്ചേരി,seed_state,1
Punjab,പഞ്ചാബ്,seed_state,1
Rajasthan,രാജസ്ഥാൻ,seed_state,1
Scheme Information,പദ്ധതി വിവരങ്ങൾ,ui_locale,1
Schemes,പദ്ധതികള്‍,ui_locale,1
"Science, IT & Communications","ശാസ്ത്രം, ഐ. ടി., വാർത്താവിനിമയം",seed_category,1
Search,തിരയുക,ui_locale,1
"Search from 2,300+ central and state government schemes. Use our AI chatbot to find the right schemes for you.","2,300+ കേന്ദ്ര, സംസ്ഥാന സര്‍ക്കാര്‍ പദ്ധതികളില്‍ നിന്ന് തിരയുക. നിങ്ങള്‍ക്ക് ശരിയായ പദ്ധതികള്‍ കണ്ടെത്താന്‍ ഞങ്ങളുടെ AI ചാറ്റ്ബോട്ട് ഉപയോഗിക്കുക.",ui_locale,1
Search schemes...,പദ്ധതികള്‍ തിരയുക...,ui_locale,1
Select state / UT,സംസ്ഥാനം / കേന്ദ്രഭരണ പ്രദേശം തിരഞ്ഞെടുക്കുക,ui_locale,1
Select your gender,നിങ്ങളുടെ ലിംഗം തിരഞ്ഞെടുക്കുക,ui_locale,1
Select your social category,നിങ്ങളുടെ സാമൂഹിക വിഭാഗം തിരഞ്ഞെടുക്കുക,ui_locale,1
Select your state or union territory,നിങ്ങളുടെ സംസ്ഥാനമോ കേന്ദ്രഭരണ പ്രദേശമോ തിരഞ്ഞെടുക്കുക,ui_locale,1
SevanaGPT,SevanaGPT,ui_locale,1
"SevanaGPT — Built with Next.js, FastAPI, and Mistral AI","SevanaGPT — Next.js, FastAPI, Mistral AI എന്നിവ ഉപയോഗിച്ച് നിര്‍മ്മിച്ചത്",ui_locale,1
Show me education scholarships,വിദ്യാഭ്യാസ സ്കോളര്‍ഷിപ്പുകള്‍ കാണിക്കുക,ui_locale,1
Sikkim,സിക്കിം,seed_state,1
Skills & Employment,നൈപുണ്യവും തൊഴിലും,seed_category,1
Skip,ഒഴിവാക്കുക,ui_locale,1
Social Category,സാമൂഹിക വിഭാഗം,ui_locale,1
Social Welfare & Empowerment,സാമൂഹിക ക്ഷേമവും ശാക്തീകരണവും,seed_category,1
Something went wrong,എന്തോ തെറ്റ് സംഭവിച്ചു,ui_locale,1
"Sorry, I encountered an error. Please try again.","ക്ഷമിക്കണം, ഒരു പിശക് സംഭവിച്ചു. ദയവായി വീണ്ടും ശ്രമിക്കുക.",ui_locale,1
Sports & Culture,കായികരംഗവും സംസ്കാരവും,seed_category,1
Start Chatting,ചാറ്റ് ആരംഭിക്കുക,ui_locale,1
Start Over,വീണ്ടും ആരംഭിക്കുക,ui_locale,1
Start voice input,വോയ്സ് ഇന്‍പുട്ട് ആരംഭിക്കുക,ui_locale,1
State,സംസ്ഥാനം,ui_locale,1
States,സംസ്ഥാനങ്ങള്‍,ui_locale,1
States & UTs,സംസ്ഥാനങ്ങളും കേന്ദ്രഭരണ പ്രദേശങ്ങളും,ui_locale,1
States:,സംസ്ഥാനങ്ങള്‍:,ui_locale,1
Stop,നിർത്തുക,ui_locale,1
Stop recording,റെക്കോര്‍ഡിംഗ് നിര്‍ത്തുക,ui_locale,1
Student,വിദ്യാര്‍ത്ഥി,ui_locale,1
Tamil Nadu,തമിഴ്നാട്,seed_state,1
Telangana,തെലങ്കാന,seed_state,1
The page you're looking for doesn't exist or has been moved.,നിങ്ങള്‍ തിരയുന്ന പേജ് നിലവിലില്ല അല്ലെങ്കില്‍ മാറ്റിയിരിക്കുന്നു.,ui_locale,1
This is an open-source project built for educational purposes. Data sourced from publicly available datasets.,ഇത് വിദ്യാഭ്യാസ ആവശ്യങ്ങള്‍ക്കായി നിര്‍മ്മിച്ച ഓപ്പണ്‍-സോഴ്‌സ് പ്രോജക്ടാണ്. പൊതുവായി ലഭ്യമായ ഡാറ്റാസെറ്റുകളില്‍ നിന്ന് ഡാറ്റ ശേഖരിച്ചത്.,ui_locale,1
Tools,ഉപകരണങ്ങള്‍,ui_locale,1
Training,പരിശീലനം,seed_tag,1
Transport & Infrastructure,ഗതാഗതവും അടിസ്ഥാന സൌകര്യങ്ങളും,seed_category,1
Travel & Tourism,യാത്രയും വിനോദസഞ്ചാരവും,seed_category,1
Tripura,ത്രിപുര,seed_state,1
Try Again,വീണ്ടും ശ്രമിക്കുക,ui_locale,1
Type your message...,നിങ്ങളുടെ സന്ദേശം ടൈപ്പ് ചെയ്യുക...,ui_locale,1
Union Territories,കേന്ദ്രഭരണ പ്രദേശങ്ങള്‍,ui_locale,1
Utility & Sanitation,ഉപയോഗവും ശുചിത്വവും,seed_category,1
Uttar Pradesh,ഉത്തർപ്രദേശ്,seed_state,1
Uttarakhand,ഉത്തരാഖണ്ഡ്,seed_state,1
View All,എല്ലാം കാണുക,ui_locale,1
View on MyScheme.gov.in,MyScheme.gov.in-ൽ കാണുക,ui_locale,1
Welcome to SevanaGPT,SevanaGPT-ലേക്ക് സ്വാഗതം,ui_locale,1
West Bengal,പശ്ചിമ ബംഗാൾ,seed_state,1
Women and Child,സ്ത്രീകളും കുട്ടികളും,seed_category,1
Yes,അതെ,ui_locale,1
Your AI-powered guide to Indian government schemes,ഇന്ത്യന്‍ സര്‍ക്കാര്‍ പദ്ധതികള്‍ക്കുള്ള നിങ്ങളുടെ AI-അധിഷ്ഠിത ഗൈഡ്,ui_locale,1
Your AI-powered guide to Indian government schemes. Find schemes you are eligible for.,ഇന്ത്യന്‍ സര്‍ക്കാര്‍ പദ്ധതികള്‍ക്കുള്ള നിങ്ങളുടെ AI-അധിഷ്ഠിത ഗൈഡ്. നിങ്ങള്‍ക്ക് അര്‍ഹതയുള്ള പദ്ധതികള്‍ കണ്ടെത്തുക.,ui_locale,1
Youth Affairs,യുവജനകാര്യങ്ങൾ,seed_category,1
chat with our AI assistant,ഞങ്ങളുടെ AI സഹായിയുമായി ചാറ്റ് ചെയ്യുക,ui_locale,1
drinking water,കുടിവെള്ളം,freq_mining,1
fisherman,മത്സ്യത്തൊഴിലാളി,freq_mining,1
for personalized recommendations.,വ്യക്തിഗത ശുപാര്‍ശകള്‍ക്കായി.,ui_locale,1
