name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
Agri-Clinics And Agri-Business Centres Scheme,acandabc,"A welfare scheme by the Ministry of Agriculture and Farmers' Welfare was launched in 2002. AC&ABC aims at agricultural development, supplementing the efforts of public extension by providing extension and other services to farmers either on a payment basis or free of cost as per the business model.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Agricultural Activities for Persons with Disabilities,aapd,"This scheme provides loans up to ₹10,00,000/- to the persons with disabilities for agricultural production, irrigation, horticulture, sericulture, the purchase of agricultural machinery and equipment for agricultural services, and the marketing of agricultural products etc.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Agricultural Extension,ae,"Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes, schemes and activities, Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Agricultural Investment Grant (in Case of Crop Damage of 33% or More),aiguk,"The scheme aims to provide financial assistance to farmers who suffer crop losses of 33% or more due to natural calamities such as floods, heavy rainfall, drought, hailstorms, or other notified disasters.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Agricultural Marketing Infrastructure,ami,The revitalized and farmers’ income enhancing centric sub-scheme Agricultural Marketing Infrastructure (AMI) of Integrated Scheme for Agricultural Marketing (ISAM) is meant for holistic development of agricultural value chain critically focusing each linkage of post-harvest value chain.,,,,,,central,active,myscheme,,,,,,,,,f,,,,
Agricultural Skill Development Training Programme For Women Farmers And Farmers,asdtpwff,"The scheme “Agricultural Skill Development Training Programme for Women Farmers and Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),financial-assistance-scheme,The Financial Assistance Scheme (FAS) is an export promotion scheme run by APEDA. The scheme aims to facilitate the export of agri-products by providing assistance to exporters.,,,,,,central,active,myscheme,,,,,,,,,f,,,,
Agriculture Engineering (Mechanical) Scheme,aems,The objective of the scheme is to provide agricultural machinery such as power tillers/ bulldozers/ tractors etc. on hiring at subsidised rate.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Agriculture Information Unit Scheme,aius,"The key objective is to disseminate information on Scientific methods of cultivation to extension staff and farming community through media such as pamphlets, leaflets, radio, television etc. and participating/holding awareness programs by means of exhibitions, seminars etc.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Agriculture Research Stations and Laboratories Scheme,arsls,The objective of the scheme is to conduct adaptive research trials on different crops in the Research Farms and in Farmers' Field for adaptability and use of bio pesticides/bio agents.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Akhil Bhartiya Kisan Mela and Krishi Udyog Pradarshani,aikmkue,"The scheme aims to provide a platform for farmers, agri-entrepreneurs, and stakeholders to access, learn about, and showcase the latest agricultural innovations, technologies, and practices.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Allotment of Commercial Shops,acsuk,The scheme aims to promote ease of doing business for licensed traders by providing them with well-located commercial shops in market yards (mandis).,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Allotment of Shops in Kisan Bazaar,asfm,The scheme aims to facilitate trade in products other than agricultural produce by providing commercial shops in Kisan Bazaars. The shops are allotted to eligible residents of Uttarakhand through public notices published in newspapers and displayed at public places.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Animal Husbandry,ahtn,"This scheme provides subsidies on the distribution of sheep units, milch animals, and calves, as well as health coverage and artificial insemination for the animals. It is targeted at Tribal communities to improve their livelihood through animal husbandry.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Animal Husbandry: Assistance to Small and Marginal Farmers,ahsmfuk,"The scheme aims to provide financial assistance to small and marginal farmers for the replacement of productive livestock lost due to notified natural disasters such as floods, landslides, or other calamities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Annapurna Scheme: Seed Exchange Programme,as-sep,"The scheme aims to increase agricultural productivity and production for SC/ST farmers who cannot afford improved seeds. It provides high-yielding improved seed varieties, up to one hectare, in exchange for existing crop or seed, backed by a 75% subsidy with a maximum limit of ₹1,500/-.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Annapurna Scheme: Seed Multiplication Programme,as-smp,The scheme aims to enhance the economic status and productivity of SC/ST farmers by providing high-quality Breeder or Certified I grade seeds for seed production. Beneficiaries receive a 75% subsidy on the cost of the seed for up to 1 hectare of land.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Annapurna Scheme: Seed Production Programme,as-spp,The scheme aims to enhance the production and economic status of Scheduled Caste and Scheduled Tribe small and marginal farmers. It provides Foundation or Certified Grade I seeds for high-yielding food grain crops with a 75% subsidy to registered farmers operating near Government agricultural farms.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",aipbo-faascdmf,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Anti Bird Net,abn,"Under the Anti Bird Net Birds will never leave your garden if they are used to pecking on certain trees and plants, but if you install anti-bird nets at the appropriate places, you can prevent them from coming again to peck your plants.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Antyodaya Gruha Yojana: Construction of New House,agy,The scheme aims to provide financial assistance to eligible rural households for the construction of a new pucca house.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Antyodaya Gruha Yojana: Incentive to Beneficiaries,agy-itb,"The scheme aims to provide time-bound completion incentives for rural housing construction. Through this scheme, incentives are provided to eligible beneficiaries who complete house construction within 4 and 6 months, respectively.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops,ptpapmh,"This scheme offers 90% financial assistance to farmers for purchasing planting materials of fruit crops to promote horticulture.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Arka Vertical Garden,avg,"""Arka Vertical Garden"" aims to promote vertical gardening in urban and peri-urban areas to increase self-sufficiency and produce pesticide-free vegetables. The scheme provides subsidized vertical garden structures to help families grow their choice of vegetables using vertical space.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Aromatic Awareness Programme - Centre for Aromatic Plants,aapcap,"The scheme aims to raise awareness about aromatic plants and their benefits, and to provide guidance on cultivation practices suitable to different agricultural climates.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Aromatic Plants Cultivation - Centre for Aromatic Plants,apccap,"The scheme aims to encourage farmers to grow aromatic plants by providing them with free seeds, planting materials, and technical support, helping them increase their income and promote aromatic farming in Uttarakhand.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Arun Pig Development Scheme,apds,"The scheme “Arun Pig Development Scheme” was launched by the Department of Animal Husbandry, Veterinary & Dairy Development, Government of Arunachal Pradesh in the financial year 2019-20 with a focus on pig rearing.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
A Scheme to Provide Assistance for Building E-Market Facilities in Market Committees,spabem,"This scheme provides financial assistance to market committees in Gujarat to establish e-market facilities, aligning with the National Agriculture Market Policy for a unified national e-market.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assam Tea Plantations Provident Fund Scheme,atppfs,"The scheme aims to provide financial security to Assam tea plantation workers through a contributory provident fund. It benefits eligible employees earning up to ₹6,500/- per month by accumulating 12% contributions from both the worker and employer, earning interest to be paid upon retirement.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Area Expansion in Fruit crops,afaefc,"The scheme ""Assistance for Area Expansion in Fruit Crops"" aims to promote fruit crop cultivation through financial assistance for high density and ultra-high density plantations, tissue culture bananas, and papayas to farmers across the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Area Expansion of Spice Crops,afaesp,"The scheme provides financial assistance to farmers for the area expansion of spice crops, including seed and rhizomatic spices, to enhance spice production in Gujarat.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Area Expansion of Vegetable Crops through Hybrid Seed,aaevcths,"The scheme ""Assistance for Area Expansion of Vegetable Crops through Hybrid Seed"" aims to promote natural farming and hybrid seed cultivation through financial assistance to farmers. The scheme provides up to ₹20,000 per hectare to encourage sustainable agricultural practices.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Assistance for Cattleshed, Gaman, Water Tank and Bucket",afcgwtb,"The scheme ""Assistance for Cattleshed, Gaman, Water Tank and Bucket"" introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat, aims to support livestock farmers by offering financial assistance for essential infrastructure such as cattle sheds, gaman, water tanks, and buckets.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Cultivation of Medicinal/ Aromatic Crops,afcmac,"The scheme provides financial assistance up to 75% of the cost or ₹11,250/- per hectare (whichever is lower) to farmers in Gujarat cultivating medicinal or aromatic crops on land between 0.20 and 4 hectares.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Establishment of On farm Storage for Sorting-Grading,aeofsg,"The scheme ""Assistance for Establishment of On-Farm Storage for Sorting-Grading"" aims to prevent post-harvest spoilage in horticultural crops by providing financial assistance for constructing storage infrastructure and purchasing sorting-grading equipment for farmers across the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Installation of Sprinkler / Drip Micro Irrigation Systems,aispmis,"Through this scheme, the Marginal Farmers, Small farmers, Scheduled Caste/ Schedule Tribe Farmers, Women Farmers, Big Farmers and Institutions are provided with a subsidy on the total cost or ₹ 25,000/‐ per hectare whichever is less for the installation of Sprinkler / Drip Micro Irrigation Systems.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Planting Vegetable Crops for Raw and Ripe Mandap,apvcrrm,"The scheme provides financial assistance to farmers in Gujarat for setting up vegetable trellises (Mandap) for raw, semi-ripe, and ripe vegetables, with varying support for General, SC, and ST farmers.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Power Driven Chaff Cutter scheme,afpdccs,"The ""Assistance for Power Driven Chaff Cutter Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, is designed to help farmers reduce fodder wastage and improve their dairy farming efficiency.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Power Driven Chaff Cutter Scheme under Integrated Fodder Development Scheme (General Category),apdccsifdsgc,"The scheme provides financial assistance to dairy farmers belonging to General Caste category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Power Driven Chaff Cutter Scheme under Scheduled Castes Sub Plan (SC Category),apdccsscspscc,"The scheme provides financial assistance to dairy farmers belonging to Scheduled Caste category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green &dry fodder which is economically important for their profitable dairy farming.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Power Driven Chaff Cutter Scheme under Tribal Area Sub Plan (TASP- ST Category),apdccstaspstc,"The scheme provides financial assistance to dairy farmers belonging to ST category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance for Protected Cultivation,afpc,"The scheme “Assistance for Protected Cultivation” by the Agriculture and Co-operation Department, Government of Gujarat aims to promote protected horticulture practices by providing financial assistance to farmers for mulching, plug nursery, polyhouse, shed net house, and nursery development.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2)",atesgephmgchrt2,"Under the scheme, financial assistance is provided to farmers belonging to the General Category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Castes (HRT-4)",atesgephmschrt4,"Under the scheme, financial assistance is provided to farmers belonging to the Scheduled Castes category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3)",atesgephmesthrt3,"Under the scheme, financial assistance is provided to farmers belonging to the Scheduled Tribes category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance in Packing Materials under Post Harvest Management of Horticultural Produce,apmuphmh,"The scheme provides financial assistance to farmers to procure packing materials like corrugated and wooden boxes for post-harvest management of horticultural produce.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance in Trellise Mandap for Cultivation of Vegetable Crops,atmfcvc,"The scheme ""Assistance in Trellise Mandap for Cultivation of Vegetable Crops"" aims to promote structured vegetable farming through the provision of financial assistance for constructing kachha/semi-pucca/pucca trellis mandaps to all farmers across the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance of Concentrate Feed After Parturition (General Category),acfapgc,"The scheme ""Assistance of Concentrate Feed After Parturition (General Category)"" provides 150 kg of BIS Type II concentrate feed to General Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category),acfapst,"The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Tribe Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance of Concentrate Feed for Pregnant Animals (Scheduled Caste Category),acfpasc,"This scheme provides free BIS type II concentrate feed to pregnant cattle owned by Scheduled Caste Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance of Concentrate Feed for Pregnant Animals (Scheduled Tribe Category),acfpast,"This scheme provides free BIS type II concentrate feed to pregnant cattle owned by Scheduled Tribe Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance Program for Expansion of Fruit Crop Cultivation,apfefcc,"The scheme provides financial assistance to farmers in Gujarat for expanding fruit crop cultivation like mango, banana, papaya, etc., through intensive and ultra-intensive farming methods.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance Program for Planting in Floriculture,apfpf,"The scheme offers financial assistance to farmers in Gujarat for the cultivation of floriculture crops, including loose, cut, and tuberous flowers, based on crop type and farmer category.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance Program for the Cultivation of Lotus Fruit (Dragon Fruit),apclfdf,"The scheme provides financial assistance to farmers to support the cultivation of dragon fruit (lotus fruit), with higher benefits for SC/ST and priority for small-scale and women farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Co-operative Irrigation Societies M. N. R.-10 (General Area),atcisg,"The scheme ""Assistance to Co-operative Irrigation Societies, M. N. R.-10 (General Area)""  aims to increase agricultural production by supporting irrigation cooperative societies through the provision of pumps and electric motors for efficient water distribution.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Co-operative Irrigation Societies (Trible Area),atcista,"The scheme ""Assistance to Co-operative Irrigation Societies (Tribal Area)"" aims to enhance agricultural productivity by financially supporting co-operative irrigation societies in tribal areas through the installation of water distribution infrastructure.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Farmers for Mini Tractor and Power Tiller in Farm Mechanization Program,afmtptfm,The scheme “Assistance to Farmers for Mini Tractor and Power Tiller in Farm Mechanization Program”  aims to support mechanization in agriculture through financial aid for the purchase of mini tractors and power tillers to all eligible farmers across the state.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Farmers in Purchasing Nano Fertilizers Under the Agricultural Assistance Program for Farmers Other than Scheduled Castes and Scheduled Tribes,apnfuscst,"This scheme offers financial assistance to farmers from non-SC/ST categories to support the purchase of Nano Fertilizers, aiming to enhance agricultural productivity and uplift the standard of living of farmers in Gujarat.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Farmers to Purchase Heavy Farm Equipment (Tractor),afphfe,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing tractors, promoting farm mechanization and increasing farm power availability.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to General Farmers for Installation of Submersible / Centrifugal Motor Pumpsets With Accessories,agfiscmpwa,"Through this scheme, the farmers from the General Category are provided with a grant of 65% subsidy towards the installation of suitable Submersible / Centrifugal motor pump sets with accessories, subject to a maximum of ₹50,000/‐ per tubewell per individual.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to General Farmers for Sinking Tubewell,agfst,"“Assistance to General Farmers for Sinking Tubewell"" was launched by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers from the General Category are provided with a grant of 65% subsidy towards the construction of tubewell/filter point per individual.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to OBM Boat Owner Fishermen on Purchase of Kerosene/Petrol,aobofpk,The scheme aims to provide financial assistance to fishermen owning small boats with Outboard Motors (OBM) by subsidizing the cost of kerosene or petrol.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Caste Farmers for Installation of Submersible / Centrifugal Motor Pumpsets With Accessories,ascfiscmpa,"Through this scheme, the farmers from the Scheduled Caste Category are provided with a grant of 90% subsidy towards the installation of suitable Submersible / Centrifugal motor pump sets with accessories, subject to a maximum of ₹60,000/‐ per tubewell per individual.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Caste Farmers for Sinking Tubewell,ascfst,"“Assistance to Scheduled Caste Farmers for Sinking Tubewell"" was launched by Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers from the SC Category are provided with a grant of 90% subsidy towards the construction of tubewell/filter points per individual.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries,ifspta,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to enhance fish production and provide employment opportunities to Scheduled Caste (SC) individuals engaged in inland fisheries.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries: Boat Net Gujarat,ascfbnguj,"The scheme aims to assist boat nets, which are provided to Scheduled Caste (SC) fishermen and fish farmers, to increase fish production by rearing fish in reservoirs and providing employment to SC individuals involved in inland fisheries. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries: Fish Collection Cum Patrolling Boat Gujarat,ascfpbguj,The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to Scheduled Caste people involved in inland fisheries activities.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries: Fish seed rearing - Gujarat,ascfsrguj,The scheme aims to increase fish production by rearing fish in reservoirs and providing employment to Scheduled Caste (SC) people involved in inland fisheries activities. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries: Fish Seed Stocking - Gujarat,ascffsguj,The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to Schedule Caste (SC) people involved in inland fisheries activities. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries: Prawn Seed Stocking Gujarat,ascfpssguj,The scheme aims to increase fish production by rearing fish in reservoirs and to provide employment to Scheduled Caste (SC) individuals involved in inland fisheries activities.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries: Scheme For Fish Sale Equipment - Gujarat,ascfseguj,"The scheme aims to increase fish production and provide employment to Scheduled Caste (SC) individuals engaged in inland fisheries. Through this scheme, financial assistance is provided for purchasing fish sale equipment to SC fish farmers and fishermen.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to Scheduled Castes for Fisheries: Training of Scheduled Caste trainees Gujarat,ascftsctguj,The scheme aims to increase fish production and provide employment opportunities to Scheduled Caste (SC) people engaged in inland fisheries activities.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance to the Fishermen for Purchase of Fisheries Requisites,afpfribm,"The scheme aims to provide one-time financial assistance in the form of a subsidy for the purchase of essential fisheries-related equipment, including support for the installation of IBM engines, procurement of electrical or solar equipment, and the purchase of insulated ice boxes for fish storage.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Assistance Towards Sugarcane Supplied By The Sugarcane Growers,atsssg,"The scheme aims to assist Sugarcane Growers to take up sugarcane cultivation in the State of Goa. It provides financial support to farmers cultivating sugarcane, paid based on actual tonnage supplied at the factory weighbridge as per the Fair & Remunerative Price.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Atal Kisan Jyoti Yojana,akjy,The scheme aims to provide affordable electricity to farmers in Madhya Pradesh by offering power supply at concessional rates.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Atma Nirbhar Bagwani Yojana,anby,The schemes are part of the Atma Nirbhar program announced during the Budget session held in February this year. A total amount of Rs 120 crores – Rs 60 crores for each scheme has been allocated to the two concerned departments of Agriculture and Horticulture.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Atma Nirbhar Krishi Yojana,anky,Atma Nirbhar Krishi Yojana (ANKY) is a scheme launched by the Arunachal Pradesh government to boost the agriculture sector. It provides financial assistance to farmers for various agricultural activities,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Atma Nirbhar Matsya Palan Yojana,anmpy,"The scheme aims to provide a 45% subsidy with credit linkage for fishery infrastructure to ST individuals, SHGs, and FPOs engaged in aquaculture.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Atma Nirbhar Pashu Palan Yojana,anppy,"The scheme aims to enhance rural livelihoods, promote sustainable animal husbandry practices, & contribute to self-reliance in livestock sector. Under this scheme, financial assistance is provided to unemployed individuals, SHGs, cooperative societies, etc. for livestock rearing & allied activities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Atma Nirbhar Plantation Yojana,anpyap,"The scheme aims to promote self-reliance in the agriculture sector through sustainable plantation activities across the state. Under this scheme, support in the form of plantation assistance and allied resources is provided to individual farmers, Self-Help Groups & Farmer Producer Organizations.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Aushadhi Avam Sugandhit Fasal Shetra Vistar,aasfsv,"Under the Scheme To increase production and productivity by expanding the area of ​​quality, high-yielding, short-duration medicinal and aromatic species.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme",beispgccpts,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bakri Palan Yojana,bpuk,"The scheme aims to promote goat rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a goat unit. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Balram Talab Yojana,bty,"The scheme aims to conserve rainwater in fields to help farmers, ensuring water availability during irrigation and drought conditions. Farmers receive subsidies up to ₹1,00,000/- for pond construction.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Bari (Kitchen Garden) Scheme,bkgs,The scheme aims to promote kitchen gardening among poor and small/marginal farmers and agricultural laborers living below the poverty line by providing free vegetable seed packets.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Basic Agriculture Training Centre Scheme,batcs,The objective of the scheme is to provide short-term vocational training for rural educated unemployed youths in agriculture and allied sectors to develop entrepreneurship skills and employment generation.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
